На складе (тонн),Вес 1 шт./кг.,,Цена 1 - 5 т. ,"Цена 5 - 15 т.
",Цена > 15 т. ,Филиал,Наименование,Размер,Длина,Доп. информация/ГОСТ,Категория,Длина
17.68,33.466,2265.68,63200,63100,63000,ЛОБНЯ,Круг Ст40Х,30мм.,,"ГОСТ2590,4543-2016",Круг,06.03
13.77,33.300,2321.01,66700,66600,66500,ИЖЕВСК,Круг Ст40Х,30мм.,,"ГОСТ2590,4543-2016",Круг,6
4.39,33.355,2341.56,66200,66100,66000,ВОЛГОГРАД,Круг Ст40Х,30мм.,,"ГОСТ2590,4543-2016",Круг,06.01
4.13,33.300,3366.30,98090,97990,97890,ЧЕЛЯБИНСК,Круг Ст38хс,30мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,6
2.55,335.509,23217.24,68200,68100,68000,ИЖЕВСК,Круг Ст20Х,95мм,,"ГОСТ2590,4543/ТУ14-1-5228-93",Круг,06.03
0.01,2217.783,292969.08,132100,132000,131900,ВОЛГОГРАД,Круг Ст45,310мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,3.74
0.08,77.024,10544.54,135100,135000,134900,ИЖЕВСК,Круг Ст45,310мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,0.13
4.27,2891.351,381947.49,132100,132000,131900,ЛОБНЯ,Круг Ст45,310мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,4.88
1.98,1988.343,274789.00,138200,138100,138000,ИЖЕВСК,Круг Ст09Г2С,320мм,3гп,"ГОСТ19281-2014, ТС132-108-2023",Круг,3.15
2.32,2340.335,390578.59,166890,165890,165890,ИЖЕВСК,Круг ст30ХГСА,310мм,,"ТУ 14-1-2118-98,4543-2016 3ГП",Круг,3.95
7.45,2755.078,410203.64,148890,148890,148900,ЧЕЛЯБИНСК,Круг ст30ХГСА,310мм,,"ТУ 14-1-2118-98,4543-2016 3ГП",Круг,4.65
7.70,325.003,20702.67,62200,62100,62000,ЛОБНЯ,Круг Ст3,95мм,,"ГОСТ2590,535/ТУ14-1-5228-93",Круг,5.85
11.03,2790.637,381480.12,136700,136600,136500,ИЖЕВСК,Круг Ст40Х,310мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,4.71
7.80,2731.388,369283.67,135200,135100,135000,ЛОБНЯ,Круг Ст40Х,310мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,4.61
2.47,193.768,35226.95,180500,179890,179890,ЧЕЛЯБИНСК,Круг СтШХ15-В,90 мм,,"ГОСТ 2590-2006 801-2022, ОГ,В1",Круг,3.9
6.23,2745.807,362721.10,132100,132000,131900,ЛОБНЯ,Круг Ст35,320мм.,,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,4.35
4.58,244.510,94454.21,385000,385000,385000,ЧЕЛЯБИНСК,Круг СтХВГ,90,обточка,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,4.9
7.40,2748.482,371594.79,135200,135100,135000,ВОЛГОГРАД,Круг Ст40Х,320мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,4.35
17.29,2758.934,377146.26,136700,136600,136500,ИЖЕВСК,Круг Ст40Х,320мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,4.37
18.22,2809.441,379836.38,135200,135100,135000,ЛОБНЯ,Круг Ст40Х,320мм,3гп,"ГОСТ4543-2016, ТУ14-1-2118-98",Круг,4.45
5.46,214.613,24573.19,113200,112890,112890,ЧЕЛЯБИНСК,Круг Ст9ХС,90мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,4.3
4.16,214.613,25152.64,117200,116890,116890,НОВОСИБИРСК,Круг Ст9ХС,90мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,4.3
2.11,301.138,19634.21,64200,64100,64000,ИЖЕВСК,Круг Ст45,90мм,3ГП,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.03
2.11,1333.962,176216.38,132100,132000,131900,ВОЛГОГРАД,Круг Ст45,320мм.,3ГП,ТУ14-1-2118-98 ГОСТ1050-88 3ГП,Круг,2.1
10.53,338.848,21584.59,62200,62100,62000,ЛОБНЯ,Круг Ст20,95мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.09
7.34,2750.728,363371.20,132100,132000,131900,ВОЛГОГРАД,Круг Ст20,320мм.,,ТУ14-1-2118-98 ГОСТ1050-88 ЗГП,Круг,4.31
4.74,2714.246,366694.63,135100,135000,134900,ИЖЕВСК,Круг Ст20,320мм.,,ТУ14-1-2118-98 ГОСТ1050-88 ЗГП,Круг,4.3
10.81,2796.998,369483.45,132100,132000,131900,ЛОБНЯ,Круг Ст20,320мм.,,ТУ14-1-2118-98 ГОСТ1050-88 ЗГП,Круг,4.42
0.19,195.998,18521.78,94500,94500,94500,ИЖЕВСК,Круг Ст20,320мм.,3ГП,А,Круг,0.275
5.10,335.509,21875.20,64200,64100,64000,ИЖЕВСК,Круг Ст20,95мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.03
03.08,336.066,22314.76,65200,65100,65000,ВОЛГОГРАД,Круг Ст20,95мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.04
3.45,328.276,25241.14,75890,75890,75890,ЧЕЛЯБИНСК,Круг ст18ХГТ,95мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,5.9
13.63,336.622,27565.98,80890,80890,80890,ИЖЕВСК,Круг ст18ХГТ,95мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,06.05
0.02,24.482,1767.57,68200,68100,68000,ИЖЕВСК,Круг Ст09Г2С,95мм,,"ГОСТ2590,19281-2014",Круг,0.44
5.81,336.066,22986.89,67200,67100,67000,ВОЛГОГРАД,Круг Ст40Х,95мм,,"ГОСТ2590,4543/ТУ14-1-5228-93",Круг,06.04
11.66,336.066,31620.41,93090,92990,92890,ЧЕЛЯБИНСК,Круг Ст38хс,95мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,06.04
